Title,Director,Rating,Genre,Duration,Year
Donnie Darko,RichardKelly,8,"Drama,Mystery,Science Fiction",113min,2001
The Exorcist,WilliamFriedkin,8.1,Horror,122min,1973
Ah-ga-ssi,ParkChan-wook,8.1,"Drama,Romance,Thriller",145min,2016
Sabrina,BillyWilder,7.6,"Comedy,Drama,Romance",113min,1954
Hauru no ugoku shiro,HayaoMiyazaki,8.2,"Animation,Adventure,Family",119min,2004
Ratatouille,"BradBird,",8.1,"Animation,Adventure,Comedy",111min,2007
The Notebook,NickCassavetes,7.8,"Drama,Romance",123min,2004
Memento,ChristopherNolan,8.4,"Mystery,Thriller",113min,2000
"Il buono, il brutto, il cattivo",SergioLeone,8.8,"Adventure,Western",161min,1966
Zootopia,"ByronHoward,",8,"Animation,Adventure,Comedy",108min,2016
The Help,TateTaylor,8.1,Drama,146min,2011
The Fighter,DavidO.Russell,7.8,"Action,Biography,Drama",116min,2010
Braveheart,MelGibson,8.4,"Biography,Drama,History",178min,1995
The Father,FlorianZeller,8.2,"Drama,Mystery",97min,2020
Kill Bill: Vol. 1,QuentinTarantino,8.2,"Action,Crime,Drama",111min,2003
The Big Short,AdamMcKay,7.8,"Biography,Comedy,Drama",130min,2015
Captain America: Civil War,"AnthonyRusso,",7.8,"Action,Adventure,Science Fiction",147min,2016
Harry Potter and the Prisoner of Azkaban,AlfonsoCuarón,7.9,"Adventure,Family,Fantasy",142min,2004
Ferris Buellers Day Off,JohnHughes,7.8,Comedy,103min,1986
The Lord of the Rings: The Two Towers,PeterJackson,8.8,"Action,Adventure,Drama",179min,2002
The Fly,DavidCronenberg,7.6,"Drama,Horror,Science Fiction",96min,1986
Arrival,DenisVilleneuve,7.9,"Drama,Mystery,Science Fiction",116min,2016
Minority Report,StevenSpielberg,7.7,"Action,Crime,Mystery",145min,2002
The Perks of Being a Wallflower,StephenChbosky,8,"Drama,Romance",103min,2012
Cidade de Deus,"FernandoMeirelles,",8.6,"Crime,Drama",130min,2002
True Romance,TonyScott,7.9,"Crime,Drama,Romance",119min,1993
Nightcrawler,DanGilroy,7.8,"Crime,Drama,Thriller",117min,2014
The Social Network,DavidFincher,7.8,"Biography,Drama",120min,2010
Logan,JamesMangold,8.1,"Action,Drama,Science Fiction",137min,2017
Snatch,GuyRitchie,8.3,"Comedy,Crime",104min,2000
Mulholland Dr.,DavidLynch,7.9,"Drama,Mystery,Thriller",147min,2001
American History X,TonyKaye,8.5,"Crime,Drama",119min,1998
Green Book,PeterFarrelly,8.2,"Biography,Comedy,Drama",130min,2018
Willy Wonka & the Chocolate Factory,MelStuart,7.8,"Family,Fantasy,Musical",100min,1971
"O Brother, Where Art Thou?","JoelCoen,",7.7,"Adventure,Comedy,Crime",107min,2000
When Harry Met Sally...,RobReiner,7.7,"Comedy,Drama,Romance",95min,1989
Donnie Brasco,MikeNewell,7.7,"Biography,Crime,Drama",127min,1997
Rain Man,BarryLevinson,8,Drama,133min,1988
Jagten,ThomasVinterberg,8.3,Drama,115min,2012
Reservoir Dogs,QuentinTarantino,8.3,"Crime,Drama,Thriller",99min,1992
What We Do in the Shadows,"JemaineClement,",7.6,"Comedy,Horror",86min,2014
Almost Famous,CameronCrowe,7.9,"Adventure,Comedy,Drama",122min,2000
The Martian,RidleyScott,8,"Adventure,Drama,Science Fiction",144min,2015
Black Hawk Down,RidleyScott,7.7,"Action,Drama,History",144min,2001
Die Hard,JohnMcTiernan,8.2,"Action,Thriller",132min,1988
The Hateful Eight,QuentinTarantino,7.8,"Crime,Drama,Mystery",168min,2015
Fargo,"JoelCoen,",8.1,"Crime,Thriller",98min,1996
Captain Fantastic,MattRoss,7.8,"Comedy,Drama",118min,2016
Bound by Honor,TaylorHackford,7.9,"Crime,Drama",180min,1993
The Thing,JohnCarpenter,8.2,"Horror,Mystery,Science Fiction",109min,1982
Into the Wild,SeanPenn,8.1,"Adventure,Biography,Drama",148min,2007
Cast Away,RobertZemeckis,7.8,"Adventure,Drama,Romance",143min,2000
The Game,DavidFincher,7.7,"Drama,Mystery,Thriller",129min,1997
Magnolia,PaulThomasAnderson,8,Drama,188min,1999
The Blind Side,JohnLeeHancock,7.6,"Biography,Drama,Sport",129min,2009
En man som heter Ove,HannesHolm,7.7,"Comedy,Drama,Romance",116min,2015
The Hobbit: An Unexpected Journey,PeterJackson,7.8,"Adventure,Fantasy",169min,2012
Y tu mamá también,AlfonsoCuarón,7.7,Drama,106min,2001
2001: A Space Odyssey,StanleyKubrick,8.3,"Adventure,Science Fiction",149min,1968
The Incredibles,BradBird,8,"Animation,Action,Adventure",115min,2004
Brokeback Mountain,AngLee,7.7,"Drama,Romance",134min,2005
The Intouchables,"OlivierNakache,",8.5,"Biography,Comedy,Drama",112min,2011
